username,date,variation,rating,comment
g*****5,2022-01-29 11:44:59,Warna Random/Acak,5,"Harga:2000
Kualitas:lumayan
Bentuk:memanjangg

Lumayann jadi irit tempatt"
maicarlin,2021-11-23 14:59:33,Warna Random/Acak,5,"Harga:terjangkau 
Kualitas:baik
Bentuk:panjang

Pengiriman cepat, harga terjangkau, kualitas bagus. Barang diterima dengan baik. Sangat berguna merapikan lemari pakaian."
maicarlin,2021-11-11 15:40:26,Warna Random/Acak,5,"Harga:terjangkau 
Kualitas:baik
Bentuk:panjang

Pengiriman cepat, harga terjangkau dan barang diterima dengan baik. Terimakasih"
m*****p,2021-12-11 20:37:52,Warna Random/Acak,5,"Harga:murah
Kualitas:lumayan
Bentuk:panjang

akhirnya yang di tunggu tunggu datang juga 👍😍👍😍👍😍👍😍👍

lumayan banget gantungan ini, udah dateng dari tadi sore. belum ak pasang karna gatau caranya 😭😭😭😭😭😭😭😭😭😭😭😭😭😭


pengiriman cepat, nanti ak bakal mampir lagi kesini. gantungan ini ga ngabisin tempat 😁😁😁😁😁😁😁😁😁😁😁😁😁"
u*****i,2021-11-12 20:02:57,Warna Random/Acak,5,Bagus barangnyaaaaaaa nnti order lagi Bagus barangnyaaaaaaa nnti order lagi Bagus barangnyaaaaaaa nnti order lagi Bagus barangnyaaaaaaa nnti order lagi Bagus barangnyaaaaaaa nnti order lagi Bagus barangnyaaaaaaa nnti order lagi Bagus barangnyaaaaaaa nnti order lagi Bagus barangnyaaaaaaa nnti order l
n*****i,2021-10-14 23:15:07,Warna Random/Acak,5,"Barangnya bagus
.
.
Bgi yg cari jasa makeup daerah Bogor untuk engagement, graduation, wedding, party, prewedding, dll harga mulai dari 130k aja hasilnya insyaallah memuaskan bisa cek ig nya @nisadwimakeup"
a*****6,2021-10-14 18:35:28,Warna Random/Acak,5,"Harga:pas bnget
Kualitas:bbguss
Bentuk:pnjang

Mksih ya kak brngx bguss sesua bnget di fto🙏😊😘😍"
ayunyacraft,2021-09-05 13:41:15,Warna Random/Acak,5,Alhamdulillah pesanannya sudah sampai produknya bagus sesuai dengan gambar pengiriman cepat kurirnya ramah terima kasih
r4tn4s1na4g4,2021-09-10 13:08:03,Warna Random/Acak,5,"Harga:trjangkau
Kualitas:kuat n bagus
Bentuk:panjang 

trima ksih kak, barang-y udh nympe utk gntung baju biar ga smpit di dlm lemari"
n*****1,2021-09-11 07:24:08,Warna Random/Acak,5,"Bagusss warna nya cantik,semoga aja kuat buat jemurin baju yg tebal"
z*****u,2022-03-12 18:20:30,Warna Random/Acak,4,"Kualitas:bagus, tapi ketinggalan 1, alat buat satuin antara pengait dengan lubang hanger yg banyak nya
Bentuk:realpic
Harga:ramah dikantong

Bagus"
