username,date,variation,rating,comment
f*****a,2022-02-10 11:38:01,,5,"Harga:terjangksu
Kualitas:bagus
Kegunaan:perekat

Recommended pokoknya ☺"
novitasrr18,2022-01-31 15:40:51,,5,"Harga:terjangkau
Kualitas:Mantap
Kegunaan:sangat berguna"
ria70191,2022-01-04 10:38:15,,5,"Harga:terjangkau
Kualitas:oke
Kegunaan:belum docoba

Pengiriman paket cepat sampai,..packing paket aman,..warna yang dikirim random..alatnya harus pame batre alkaline,..batre biasa gak bisa.."
ria70191,2021-12-28 17:36:57,,5,"Harga:Terjangkau
Kualitas:blm dicoba
Kegunaan:belom dicoba

Pengiriman lumayan cepat,..bahan plastik,..warna warna cantik,..semoga awet dan bermanfaat,.."
putrining13,2022-01-02 23:11:30,,5,"Harga:murah
Kualitas:bagus
Kegunaan:bagus

Jadi lebih enak pake kek ginian,murah banget"
ljh1ru6in6olxmv0ipcg9wjkj_tj,2021-12-29 23:49:05,,5,"Harga:sangat terjangkau
Kualitas:bagus bangat
Kegunaan:perekat plastik

Barangnya bagus bangat
Saya sangat suka"
d*****l,2021-11-15 12:00:00,,5,"Harga:murah
Kegunaan:belum di pake, semoga aja nyala dan bagus.
Kualitas:bagus

Pengiriman barang nya bagus dan cepat,but pengemasan nya sedikit agak mengecewakan tapi barang bagus, semoga bermanfaat."
m*****b,2021-10-19 17:30:14,,5,"Harga:murah
Kegunaan:belum di coba
Kualitas:terjgkau

Tokonya amanah sekaliiiii
Ga ada yg kurng pas bgt💞💕💕💕💕💞💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕"
maicarlin,2021-11-11 15:40:26,,5,"Harga:terjangkau 
Kegunaan:sangat berguna untuk menyegel plastik
Kualitas:baik

Pengiriman cepat, barang beefungsi dengan baik dan harga terjangkau. Terimakasih"
nurhasanahbundatiwi,2021-10-15 02:02:06,,5,"Harga:murce
Kegunaan:sgt berguna bgt utk merekatkan plastik👍
Kualitas:👍👍

Smoga awet, soalnya baru coba bagus bgt LG warna pink👍👍😘"
d*****i,2021-10-20 20:55:45,,5,"Harga:murah sekali
Kegunaan:perekat plastik
Kualitas:bagus

Wajib beli ‼️
Barang yg dibeli sama dengan yg di gambar.  Tidak mengecewakan. 
Terimakasih seller yg sdh cepat mengirimkan barangnya.. 
Untuk kualitas belum dicoba ya 😊"
chairul_ichsan,2021-11-26 11:12:47,,5,"packingan tebal , barang aman dgn kondisi baik , dan berfungsi dengan baik."
trimurni.trimurni,2021-09-10 21:37:40,,5,"Kegunaan:praktis
Kualitas:bagus

Bisa buat keperluan untuk menyimpan makanan setelah dibuka, di rekatkn lg 😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😜😜😜"
astrianasafitri06,2021-09-17 15:59:49,,5,"Harga:ok
Kegunaan:multifungsi
Kualitas:ok

Alhamdulillah barang sudah smpai pekingan rapih pengiriman cepat"
di_wtpeutg,2021-10-03 08:21:57,,5,"Harga:murahh
Kegunaan:okeeee
Kualitas:baikkk

Barang sesuai pesanan neks order"
aisyahhumairohh3,2021-09-23 19:15:54,,5,"Harga:bagus
Kegunaan:membungkus plastik ciky
Kualitas:bagus

Beli disini ya.. Pengemasan cepat"
