username,date,variation,rating,comment
a*****0,2022-02-22 15:48:14,Putih,5,"Harga:okelah
Kualitas:mayan
Kegunaan:sabun sabun

kfhflf dohd kdkhsi jfdkd igdkf gkidiylu kykdkffu jskx idyk khvb jgoyid dyxllb ghste6 mi"
vieansalmadian,2022-03-04 21:16:28,Silver,5,"Harga:Relatif murah
Kualitas:Ok
Kegunaan:Ok

Good Jobs!! Lancar selalu usahanya & Sukses!!"
rachmafujidettrina,2022-02-17 14:50:12,Putih,5,"Kegunaan:Wadah sabun shampo atau cair lainnya
Harga:Bersaing
Kualitas:Insyaallah tahan lama

Lumayan, dan amanah saya minta warna apa sesuai hihi makasih seller 🖤"
s*****s,2022-02-08 16:21:25,Silver,5,"Kualitas:lumayah
Kegunaan:tempat sabun cair
Harga:mutah

Semoga Awet dan berfungsi dengan baik biasanya sering menetes terus"
reniachmad83,2022-01-25 19:33:07,Silver,5,"Harga:sangat memuaskan
Kualitas:bagus
Kegunaan:sangat berfungsi"
alfiecca_navalia,2021-12-27 16:10:21,Silver,5,"Kualitas:belum di uji
Kegunaan:belum di coba
Harga:paling murah dibanding toko lain"
m*****a,2021-11-17 00:03:13,Silver,5,"Harga:trjangkau
Kegunaan:utk tempat sabun
Kualitas:bagus

Syukaaa tapi udh langsung lose kncinya.."
tsalsabila15,2021-11-11 11:07:20,Putih,5,"Harga:murahhhhh bagus banget 
Kegunaan:untuk sabun bekerja dengan baik 
Kualitas:bagus tidak ada yang retak bahan plastik

Pengiriman cepat"
v*****1,2021-11-04 11:21:31,Silver,5,"Harga:murah
Kegunaan:ok
Kualitas:ok

Cepet sampenya ,barang bagus,aku sukak,semoga awet...terima kasih sukses selalu untuk usahanya ..."
rock_blues,2021-11-03 22:05:54,Silver,5,"Harga:flash sale
Kegunaan:bantu banget
Kualitas:ok lah

Sesuai pesanan, packing mantap dus dan buble wrap, respon cepat, kurir ok"
erlapra,2022-03-07 15:47:43,Putih,4,"Harga:murah
Kualitas:sesuai harga
Kegunaan:tempat sabun cair

Bahan plastik cukup baik. Sayang tombol keluar sabunnya keras. Untuk anak2 dan lansia kesulitan pencetnya."
dwielokaparamitha,2022-02-23 12:31:53,Silver,5,"Harga:murah
Kualitas:baguss
Kegunaan:blm di coba semoga ga ada yg rusak

Alhamdulillah sampe, skrng ga perlu repot cuci tangan ke kamar mandi dan sabun tumpah tumpah 😍"
btararizky,2022-02-14 14:07:33,Silver,4,"Kirain bisa buat sabun mandi, ternyata cuma buat sabun encer"
a*****a,2022-01-30 12:55:17,Silver,5,"Pengiriman dan pengemasan cepat, bagus barangnya tidak ada pecah, blm dipasang tapi. Makasih seller ✨💛"
s*****9,2021-12-20 17:28:24,Silver,5,"Kualitas:terbaik
Kegunaan:serbaguna
Harga:terjangkau

Alhamdulillah paket telah sampai dengan baik 🥰 cantik dan elegan bentuk dari dispenser mempercantik kamar mandi, semoga tetap amanah, trimakasih toko & shopee ❤️😍"
n*****i,2021-12-20 12:20:52,Putih,5,"Harga:murah

Barang sesuai. Kualitas sesuai deh sm harganya. Pencetannya hrs pake tenaga krn agak keras dan keluarnya dikit tp gpp itung2 irit sabun😁"
fauzyazahara,2021-12-28 15:41:11,Putih,5,"Harga:murah
Kualitas:bagus
Kegunaan:untuk tempat sabun

Simple elegan jd lebih rapi"
srimulyani2002,2021-11-30 17:20:21,Putih,5,"Harga:murah
Kegunaan: tempat sabun/shampo
Kualitas:bagus

Pengiriman cepat packing rapi dan aman , bubble wrap nya tebel jadi lebih aman , bahan barang bagus ...lebih keker ,gak plastik banget
Pokoknya recommended 👍👍"
intanhakim18,2022-01-06 16:29:46,Silver,5,"Harga:murah
Kualitas:ok
Kegunaan:tempat sabun cair

Bahan bagus, tebal, harga murah, puas lah pokokY, terima kasih 🙏🏻"
_*****a,2021-12-01 15:26:19,Putih,5,"Harga:murah banget
Kegunaan:ok
Kualitas:lumayan

Harga segini sih murah banget ya buat dispenser soap nya. Makasi"
naufalfarel12,2021-09-19 13:13:23,Silver,4,"Harga:⭐⭐⭐⭐
Kegunaan:⭐⭐⭐⭐
Kualitas:⭐⭐⭐

maaf cuma ksh ⭐⭐⭐ u kualitas barang br unboxing tombol u buka tutup kuncinya sdh lepas sprtnya tdk ke lem"
y*****i,2022-03-16 13:57:37,Silver,5,"Respon dan pengiriman cepat, barang sesuai pesanan, packing rapi, kurir ramah. Makasih seller dan shopee"
a*****s,2022-03-10 10:15:15,Silver,1,"Harga:BARANG TIDAK DIKIRIM
Kualitas:SANGAT BURUK
Kegunaan:ADMIN NO RESPON

Gw beli beberapa barang dan  buat yg senderan hp enggak dateng sama dispanser sabun juga gak dateng!!!! Admin di chat juga gak bales2"
nurhayatirasya,2022-02-16 15:25:53,Putih,5,"Harga:ok
Kualitas:ok
Kegunaan:ok

Paket mendarat dengan aman,,pokok nya is the besttttt"
zulfirahmanniah,2022-02-11 11:15:06,Putih,5,"Harga:murah
Kualitas:okey (belom di coba)
Kegunaan:belom di coba"
ryantoaldi,2022-02-10 20:16:07,Silver,4,"Kualitas:cukup
Kegunaan:tempat sabun
Harga:cukup

Untuk harga segini cukup worth it cuma agak takut aja kalau tbtb pecah. Soalnya ada harga ada kualitas. But thaksfull udah sampai barangnya"
k*****f,2022-02-05 14:56:06,Putih,5,"Kualitas:bagusss
Kegunaan:belum dicoba
Harga:good

Barang sampa dengan selamat, gaada baret , good pokoknya 😍
Belum dicoba, semoga berfungsi dengan baik"
lupizelvin,2022-02-13 20:25:38,Silver,5,"Kualitas:oke deh
Kegunaan:dispenser sabun
Harga:murmeerrrr...

Mantullssssss.... thanks seller n shopee"
stephenputra,2022-01-29 16:01:04,Silver,3,"Harga:relative
Kualitas:new
Kegunaan:- 1

Saya beli 4 , 1 dari 4 ada yang cacat pijitannya masuk ke dalam yg lainnya aman !!!!"
a*****y,2021-12-27 20:48:30,Putih,5,"Harga:murah
Kualitas:bagus
Kegunaan:Top

Bahan wadah sabunnya tebel dan kokoh,,bagus sekali.. thx"
indrisabil,2022-01-03 17:08:00,Silver,4,"Harga:gterjangkau
Kualitas:lumayan tapi ada yg retak dikit
Kegunaan:buat sabun cuci piring"
azenk090968,2021-12-28 16:00:02,Silver,5,"Harga:sangat ekonomis
Kualitas:mantap
Kegunaan:berfungsi

Sesuai pesanan!,semoga awet dan bermamfaat amin thank untuk semuanya semoga tambah sukses"
s*****1,2021-12-05 13:49:59,Putih,5,"Harga:diskon 🥰
Kegunaan:dispenser handsoap
Kualitas:baguss

Pesen yang putih dan silver.. yg putih mulus.. yg silver agak baret di bagian tombol pushnya.. yauda gapap sih daripada return lagi.."
ones67,2021-11-28 21:09:56,Silver,5,"Harga:murah
Kegunaan:sangat bermanfaat
Kualitas:lumayan sesuai harga

Alhamdulillah paket tiba malam semua sesuai dg pesanan.pakingnya agak sobek sedikit,tokonya amanah kurir ramah makasih sellernya jg shopee"
fazriyah87,2021-12-04 21:57:47,Silver,5,"Harga:okayy
Kualitas:bagus

Pengiriman 2 hr,harga okay,packaging aman..semoga awet,mau tanya karet hitamnya dibuka ato gimana ya"
r*****a,2021-11-29 11:15:34,Putih,5,"Harga:murah
Kegunaan:ok
Kualitas:-

Semoga tdk bocor stlh di isi sabun cair/shampo"
yunit420,2021-11-16 09:36:15,Putih,5,"Terimakasih kak barangnya sudah sampai
Datang pas kondisi hujan jdi kardusnya ada yg basah, tpi gpp yg penting barangnya aman"
rosyeskiinnova,2021-10-28 17:10:41,Silver,5,"Harga:murah
Kegunaan:dispenser sabun/sanitizer
Kualitas:lumayan ok Kya Di mall2

Bahn nya ok hrga lbh murah Dr toko lain..moga awet.thx"
devira1506,2021-10-14 07:04:38,Silver,5,"Harga:murah
Kegunaan:keren buat tempat sabun mandi cair dan hand wash. 
Kualitas:bagus

Desain mantap..pemakaian belum di coba.. semoga tombol2 nya aman dan awet di pakai.. satu kekurangn, penutupnya kurang praktis.. mau isi ulang, harus buka pakai kunci.. overall mantap..tq seller..sukses yaa"
ratna_faizah,2021-10-03 15:10:29,Putih,5,"Harga:Murah
Kegunaan:Sangat berguna
Kualitas:Bagus

Packingnya rapi, aman, ada bubble wrap nya. Barangnya sampai dengan selamat tdk ada yg rusak. Terima kasih banyak seller"
misella27,2021-10-28 19:18:54,Putih,5,"Harga:murahhh
Kegunaan:tempat sabun cairr
Kualitas:ok

Sesuai gambarr ok.. harga paling murah trimakasih seller 🙏🙏👍"
e*****i,2021-10-11 07:13:01,Silver,5,"Harga:murah
Kegunaan:wadah sabun cair
Kualitas:bagus 

Bagus tebal bahannya..
Alhamdulillah barang utuh gak ada yg rusak.
Pengiriman jg cepat..
Trima kasih yaa 😁👍"
muhammaddierry,2021-10-08 07:30:01,Silver,5,"Harga:standard
Kegunaan:semoga baik
Kualitas:sedang

Allhamdulillah barang datang tidak ad yg pecah satupun, thaks Sealer dan shopee 😊😊😊"
d*****8,2021-10-22 14:33:18,Putih,4,"Harga:murah
Kegunaan:tempat sabun praktis
Kualitas:baik

Semoga awet, bahan tebal... Mudah dipasang... Mantap"
arumchaisie,2021-10-13 18:05:51,Putih,5,
jarumsuntik,2021-11-06 20:02:07,Putih,5,"Harga:murah
Kegunaan:bermanfaat
Kualitas:semoga bagus

Lebih mudah utk pemaakaian sabun cair nya"
n*****i,2021-09-18 17:06:34,Silver,5,"Harga:murah
Kegunaan:tempat sabun
Kualitas:bagus

Baru pertama kali order, tp lgs puas bgt liat barangnya..harga bersaing tapi bahan bagus, untuk pencetannya ngga keras. Untuk jaman seperti ini bisa juga untuk isi hand sanitizer..thx seller"
namasaye,2021-06-09 12:41:07,Silver,1,"barang yg di terima ada yg rusak, bagian penguncinya lepas. minta retur tp seller tdk mau. malah disuruh coba menggunakan benda lain. sudah jelas foto yg saya kirim itu penguncinya lepas dr lubang."
arfinavivien,2021-10-04 06:35:40,Putih,1,"Harga:b aja
Kegunaan:mayan
Kualitas:b aja

Telat bgt baca review nya orang2, tnyta toko ini ga amanah, barang kurang 1 uda dikirim bukti dn pengajual pengembalian tp alasannya ditolak.. ga seberapa duitnya tp keselnya itu dn ga ikhlas ngembat duit gt aja.. semoga dpt balasan yg setimpal krn ga berkah!"
tokorere77,2021-09-10 22:20:12,Silver,5,"Harga:oke
Kegunaan:belim di pakai
Kualitas:lom dicoba

Barang sudah datang dan pakingan rapi  dan respon penjual baik tks kka semoga awet barangnya"
sita_140816,2021-09-30 15:40:51,Putih,5,"Harga:terjangkau
Kegunaan:dispenser utk sabun n shampoo
Kualitas:baik

Real pic....mantap bagus bgt dechh pokoknya semoga amanah salawasna...tq reseller n tq...shopee"
a*****y,2021-09-27 18:29:17,Silver,5,"Harga:Kompetitif
Kegunaan:Optimal
Kualitas:Lumayan

Ada beberapa codekan, nampak nya dari Pabrik. Ada potongan² yang kurang rapi & perlu di silet dikit. Tidak terlalu masalah, fungsi yang paling utama. Semoga lancar"
tyarinis,2022-02-16 11:26:07,Silver,5,
agustiningsih.se,2021-11-16 21:58:55,Silver,5,"Harga:Murah
Kegunaan:tempat sabun cair
Kualitas:Bagus

Alhamdulillah barangnya sudah sampai"
janoeare_fm,2022-03-07 14:05:07,Silver,5,"Harga:ok
Kualitas:.ok
Kegunaan:ok

Barang ok.harga ok.dipasangnya gampang.keluar sabunya yg agak sedikit.dipencetnya kurang emppug"
kurniaevi13,2022-03-19 16:09:58,Silver,5,"Kualitas:Ok
Kegunaan:Untuk tempat sabun cair
Harga:Murah

Thanks seller, udah proses pesanan sy dengan baik. Blm dipasqng. Semoga bermanfaat."
intan_cn,2022-03-07 09:07:07,Putih,5,"Kualitas:bagus
Harga:terjangkau

Good quality ya 😘 , recomended buat kalian yang cari sana sini . Stay in the store bestie"
feshanasha13,2022-03-05 16:04:01,Silver,5,Kecepatan pengiriman sangat baik produk sangat baik terimakasih
n*****a,2022-03-05 00:45:20,Putih,5,Harga pas di kantong hehe . Lumayan dengan harga segitu . Smoga bisa berfungsi dgn baik ya
rosnita.dewi,2022-03-04 16:01:36,Putih,5,"Oke thanks seller semoga berfungsi dengan baik, biar customer ku tidak kecewa hehehe...."
n*****u,2022-03-07 00:24:46,Putih,5,"Kegunaan:untuk sabun mandi
Harga:murmer
Kualitas:mantrb

Next  bakal order lagiHarga murah kwalitas mewah..next kalau butuh pasti order lagi ya..recomend deh buat yg belum order,cepetan di order,tokonya amanah kok"
g*****r,2022-03-01 22:50:40,Putih,5,"pengiriman cepet bgt. barang sesuai foto. produk murah banget tapi tidak seperti murahan. makasih sis, gak kecewa belanja disini"
e*****a,2022-03-24 11:13:40,Silver,5,"Harga:murah
Kualitas:sedan
Kegunaan:sabun mandi dan sampo

Yg satu dibagian atas dekat pengunci ada yg pecah,"
novitasariazmi,2022-03-14 11:30:26,Putih,4,"Harga:murah bgt
Kualitas:baik
Kegunaan:dispenser cuci tangan

Barang smpai dengan baik. Gak ada lecet makasih bnyk ya. Next mau pesan lagi."
puji.3_h,2022-02-28 16:04:16,Silver,5,"Barang sesuai pesanan, lengkap, pengiriman cepat, pengemasan juga rapi, bagus sesuai harga"
ly_tang,2022-03-17 10:59:06,Putih,4,"Kualitas:baik, ada kuncinya juha
Kegunaan:berfungsi dengan baik
Harga:harga terjangkau

Terima kasih untuk pengiriman nya, cuma sayang hampir 2 minggu baru barangnya nyampe,
Tapi aman barang sudah sampai dengan VB selamat.
Terima kasih ya."
pratzhnocyuvanezz,2022-03-02 20:58:52,Silver,5,Produk sangat berguna. Terimakasih seller. Yang bikin agak kecewa saya sudah masukkan karton kardus box tambahan. Tapi tidak ada.
i*****a,2022-03-18 21:04:16,Putih,5,"Harga:murah banget
Kualitas:luamanyan dengan harga segitu
Kegunaan:buat tempat sabun"
e*****8,2022-03-01 19:24:31,Silver,5,"Harga:murah
Kualitas:bagus
Kegunaan:buat tempat sabun

Dispenser nya bagus tapi belum di coba berfungsi atau gak"
sriyusfinah,2022-02-20 09:52:48,Putih,5,"Harga:sesuai
Kualitas:baik
Kegunaan:bagus

Terumakasih seller
Pemgirimana lumayan cepat
Kemasan juga okemwalauoun belum dicoba
Semoga berfungsi"
sriyusfinah,2022-02-20 09:51:26,Putih,5,"Harga:bagus
Kualitas:bagus
Kegunaan:sesuai

Barang sdh sampai
Kemasan okembelum dicoba
Sekoga berfungsi baik
Terimakasih seller"
d*****a,2022-02-21 23:51:37,Putih,5,"Harga:murah
Kualitas:bagys
Kegunaan:aman

Murah sangat.. saya suka pokoknya 
Semoga bermanfaat.
Terima kasih 🙂🙂🙂"
baju94,2022-02-24 12:21:37,Silver,5,"suka sekalii buat naro sabun cair biar gak berantakan,, lebih rapih prkatis kamar mandinya"
kalena24_,2022-02-18 17:15:42,Silver,5,"Harga:Terjangkau
Kualitas:bagus
Kegunaan:bagus

Udah beli yg kesekian ini. Banyak yg pesan"
aries.wahyudi27,2022-02-23 20:03:05,Silver,5,"Kegunaan:belum di coba.
Harga:murah
Kualitas:lumayan bagus

Saya kasih bintang 5 karna sesuai gambar dn memang bagus barang nya. Terjangkau bangat. Tp sayang blm di pakai pengunci nya udh copot. Apa bisa di lem atau tidak ya pengunci nya."
nirdahakim,2022-02-16 12:33:20,Putih,5,"Harga:murah
Kualitas:baik
Kegunaan:sangat bernanfaat

Mantaabbss sdh sampai smua
Sesuai dgn pesanan
Tenkyuuu Seller and Shopee"
