username,date,variation,rating,comment
ellyn_hasanta,2022-03-01 13:56:57,Sakura Pink,5,
f*****i,2022-03-03 16:11:09,Sakura Pink,5,"Cepet banget sampenya. Pesan jam 10 jam 11 sampe dengan gosend instan. Abis pesen langsung di proses penjual, keren. Bagus jam nya👍"
k*****t,2022-03-06 14:44:47,Forest Green,5,Akhirnya dapet waktu flash sale. Jam ini sedikit lebih besar dr huawei band. Fiturnya agak lebih banyak. Sesuai dengan klaim kalau di charge bntar aja udah awet banget baterai nya. Pilih warna forest Green bener bener bagus. Untuk case nya ak beli dr toko lain yaa supaya lebih awet ga kegores2.
maudy_dmu,2022-03-01 20:15:12,Sakura Pink,5,"cakep banget warna pink sakura nya, sukak bangetttt poll dah cintanya, gampang juga cara makenya tinggal download appsnya trus registrasi deh, kalo bingung tinggal chat kakka admin aja"
cahyogitara93,2022-03-05 16:43:45,Graphite Black,5,"Sampai juga kirimannya
Smart band warna black nya keren juga, mantaplah"
d*****u,2022-03-04 19:40:24,Graphite Black,5,"Biarkan bukti video, photo dan bintang yg mewakili ulasan ini 😉"
lawren69,2022-03-05 20:39:14,Sakura Pink,5,Barang bagussss pengiriman cepat
donnaiosa2621,2022-03-05 12:20:12,Amber Sunrise,5,"Gilaaaakk pengiriman cepet banget.kirain karena lagi 3.3 bakalan nyampenya lama kaya toko2 sebelah. Checkout jam 9, jam 10 udah dipacking and kirim donkk.besok siang udah sampe dirumah🤩
Mantab banget deh servicenya. Suka banget sama warnanya. Watch facesnya banyak.pairing n sync mudah. Recommended!"
t*****n,2022-03-03 12:33:28,Graphite Black,5,"Produk bagussss, casnya juga cepat, baterai awet bisa dipakai berhari-hari.. Bahannya ringan, jadi cocok buat pakai sehari-hari.. Mantaps deh 🔥🔥"
b*****l,2022-03-03 12:04:32,Sakura Pink,5,"Bagus, tdk mengecewakan. Warna pinknya bagus bgtt. Mevahh bgt. Rekommend bgt sih ini🥰"
