username,date,variation,rating,comment
r*****.,2022-03-05 19:20:02,,5,"Daya serap:belum d coba
Ketebalan:belum d coba
Kelembutan:belum d coba

Fiks nanti mau beli banyak aja, nanggung 1 wkwkwk. Thanks ya."
cheppylesmana,2022-03-05 18:44:34,,5,"Ketebalan:Sesuai👍👍👍
Kelembutan:Banget👍👍👍
Daya serap:Baik👍👍👍

Tisu buat pembersih bersih😇🙏😍👍⭐🌟"
lenayosep16,2022-03-05 18:20:55,,5,Sangat rekomendasi untuk di beli dan saya juga pesan yang terjangkau oleh semua
nadi379,2022-03-06 12:57:36,,5,"Sudah diterima produknya. Selalu puas dengan produk2nya . Terima kasih banyak seller, love you ⚘🥰"
nouroh,2022-02-26 13:30:34,,5,Alhmdulillah sampe nya cepet produknya baik pengiriman oke harga oke makasih ya
mariabeautyseries,2022-02-28 22:57:39,,4,"Ketebalan:baik
Kelembutan:baik
Daya serap:baik

Pengiriman lumayan cepat, pengemasannya kurang aman di bungkus pake plastik tipis warna merah. Tissu nya ada yg pecah plastik nya. Robek."
brosist_olshop,2022-03-06 13:31:34,,4,"Ketebalan:ok
Kelembutan:lembut
Daya serap:bagus

Pengiriman cepat.
Tapi packing nya gini amaatt ya???
Hahhaaa
Ya next kalo bisa minimal plastik hitam kek.
Biar gk keliatan waktu pengiriman.
Masak keliatan gituuuuu"
egaajeng,2022-03-03 19:11:08,,5,"Ketebalan:Ok
Kelembutan:Lembut
Daya serap:Bagus"
almirariana,2022-03-07 13:40:25,,4,"Ketebalan:lumayan
Kelembutan:ok
Daya serap:ok

Pengiriman cepat dan dikirim transparan hanya dibungkus plastik.tp gpp lah yg penting sampai dengan aman...thx kurir n seller"
m*****1,2022-03-06 22:57:06,,5,"Kelembutan:lembut
Daya serap:menyerap
Ketebalan:tepal

Tissue nice 180 fly pemesannya  dan pengiriman sangat cepat gak pakai lamaa . Maaf pakai ppto lain"
devidianitta,2022-03-06 12:21:23,,5,"Daya serap:keren
Ketebalan:bagus
Kelembutan:original

makasih ua kak sukak pengiriman cepat makasih"
angelita_oh,2022-03-02 14:29:21,,5,"Kelembutan:bagus
Daya serap:bagus
Ketebalan:bagus

Barangnya bagus dikirim dengan aman.... Respon penjual baik dikemas dengan baik juga barang lumayan cepat sampai"
lilissopiah27,2022-02-27 10:33:51,,5,"Pas masih d packing ada yang udh kebuka 1 ,, tp gapapa sih.... yang lainnya bagus🥰"
diah.pristika,2022-03-03 01:33:05,,5,"Ketebalan:baik
Kelembutan:baik
Daya serap:baik

Barang sesuai dengan deskripsi , pengiriman aman dan. Cepat. Terimakasih"
m*****a,2022-03-07 08:18:52,,5,"tisu lembut, bagus, tebal. barang pas, harga murah, pengemasan cepat tp pake plastik selembar doang jd agak risky ya. makasi"
sitimunawarohindriati,2022-03-05 19:28:35,,5,"Ketebalan:tebal
Kelembutan:lembut
Daya serap:bagus

Terima kasih seller 
Semoga berkah selalu"
ulfahmauul,2022-03-02 21:00:43,,5,"Daya serap:oje
Ketebalan:oke
Kelembutan:oke

Barangnya cepet sampai, packingnya mantull.. Semoga berkah ya min dan lariss terus.."
