username,date,variation,rating,comment
asclepiadinae,2021-10-28 23:11:03,Ice White,5,"akhirnya punya, dari dulu pengen banget punya Insta X !! alhamdulillah masih kebagian stok terakhir warna ice white, juga dikasih baterai nya hehe. garansi juga lengkap, official store emang bagus. makasih !!"
i*****9,2021-02-02 20:27:13,Ice White,5,"Bagusss bangett, pengirimannya juga cepat tapi kehalang sabtu dan minggu off, papernya juga dapat yang motif.. terima kasih admin dan kurir "
b*****m,2022-02-10 18:25:46,Sky Blue,5,"Aku beli ini utk kado ultah ke diri aku sendiri, bagus bgtt weyyy, beruntung bgt dpt warna sky blue, berhubung aku suka bgt biru muda aplgi sky bluee !! Pengiriman mayan cepet, pke bubble wrap tebel bgt tpi aga syg dusnya penyok dikit tpi gpp lah kameranya aman sentosa krna dilapisin lagi, thkss !!"
a*****_,2022-01-08 00:15:20,Blush Pink,5,Tebel banget bubble wrap nya .. agak lama pengiriman tapi datang dgn selamat
v*****i,2021-11-06 19:27:51,Blush Pink,5,"seneng sm bersyukur banget kemarin dapet flash sale 11 rupiah🥰 mungkin ini jadi kado ulang tahun ku ya hehe. oh iya pengirimannya juga cepat dan aman banget, penjualnya juga ramah. terimakasih yaa❤️🥰"
e*****e,2021-10-27 18:36:15,Charcoal Gray,5,alhamdulillah sampai dengan selamat dan mulus tapi katanya dapet free accessoriesnya yg mana yaa
mafta,2021-01-09 19:44:51,Blush Pink,5,Sellernya ramah. Beli disaat lagi promo januari dengan discount dan free 2 box film isi 10 tanpa harus claim. Seneng banget. Instax pertama. Kurir juga komunikatif. Pengiriman sehari sampai dan packaging aman banget karena bubble wrapnya tebel. Next bakalan next order nih. Thank you
i*****e,2020-08-19 21:04:19,Blush Pink,5,"agak kecewa awalnya karna pesen yg blush pink tp ternyata barang kosong, tp sellernya konfirmasi terlebih dahulu mau diganti warna apa, jdnya skyblue deh🤗 alhamdulillah packaging hanya pakai bubble wrap dan langsung kotak kameranya, ttp aman kameranya karna dikasih bubble wrap lg dlm kotaknya❤️"
zalfaalhabsyi12,2022-02-27 11:03:45,Sky Blue,5,"Packingnya aman, kurir ramah, impian banget buat punya iniii dan akhirnya udah punyaaaa 💗 semoga awet ya 🥰 terima kasih ya"
a*****a,2022-01-18 17:20:03,Lilac Purple,5,bagus banget huhu warna nya cantik banget akhir nya kesampean juga beli nya
ichesukmaa,2022-01-18 18:20:37,Lilac Purple,5,"Barang sampai dengan cepat, pengemasan aman, rapih. Dan barang juga original. Pokok nya bagus banget lah🤗"
fassasbr,2022-01-06 18:53:39,Blush Pink,5,sukaaaa!! Thankyouuu kaa🙆🏻‍♀️🤍✨
d*****a,2021-08-08 15:48:24,Lilac Purple,5,"baguss banget lucuu warnanya😍😍 semoga awett, dari pas nyampe blm dipake samsek jd blm tau ada yg rusak atau engga"
