username,date,variation,rating,comment
rizky_seuol25,2022-02-11 03:08:43,120x200,5,"Harga:terjangkau
Kualitas:baik
Kenyamanan:sangat nyaman

maaf fotonya gasesuai soalnya lgsg dipake wkz enak bgt mpukkkk, syukaaa nd ga nyesel sih beli huhuu"
y*****k,2022-01-28 07:00:52,160x200,5,"Harga:sesuai
Kualitas:baik
Kenyamanan:nyaman

Pengiriman agak sedikit lama, jadi harus sabar nunggu. Gak bisa utk yg buru2 mw pesen.
Kasurnya bagus, semua sesuai dgn deskripsi. Dan memang original, Pas bgt d kamar. Semoga awet.
Terimakasihhhh......"
densramdhany,2022-01-26 22:14:50,160x200,5,"Kualitas:sangat bagus dan memuaskan
Kenyamanan:nyaman sekali
Harga:sesuai dengan kualitas yg bagus

Pengiriman cepat kurirr ramah pokonya top in.the.box 👍👍👍"
m*****3,2022-01-23 19:41:32,200x200,5,"Harga:relatif
Kualitas:bagus bgd
Kenyamanan:nyaman sekali

Alhamdulillah kasur in the.box datang maaf seller telat kasih nilai soalnya sibuk bgd kasurnya empuk,nyaman,bagus bgd untuk kurir ramah baik bgd mksh seller,kurir&shopee sukses selalu"
shenysafitrie,2022-01-10 20:02:13,180x200,5,"Harga:wort it
Kualitas:number one
Kenyamanan:terbaik

Alhamdulillah barang mendarat dengan selamat dari Bandung ke Cirebon cuma 3 hari 
Respon penjual sangat ramah recomended bgt beli ditoko ini 🖤"
p5crk2uudh,2022-01-14 16:51:10,180x200,5,"Harga:sesuai dengan kualitas. tp sepertinya naik terus ya
Kualitas:bagus
Kenyamanan:semoga nyaman karena blm dipakai

mudahan ada rejeki lagi supaya beli 1 lagi."
trie_supriadin,2022-01-09 11:08:24,120x200,5,"Harga lumayan, kualitas barang baik, nyaman sih utk tidur... semoga awet terima kasih, sehat selalu semuanya"
agriansyah123,2022-01-04 19:07:40,160x200,5,"Harga:terjangkau
Kualitas:bagus
Kenyamanan:halus

Harga sangat terjangkau, pengiriman jauh tapi ongkirnya gratisssssss..
Barangnya bagus banget untuk pembelian online tidak mengecewakan.
Thanks seller"
aripin832,2022-01-09 21:20:57,160x200,5,"Harga:dapet promo
Kualitas:sangat baguss
Kenyamanan:empuk dan ga panas

Nyaman banget"
rosaoktafianti14,2021-12-17 21:48:46,180x200,5,"Kenyamanan:lembut dan empuk
Harga:ada harga ada kualitas
Kualitas:belum tau karena baru di buka

Ada harga ada kualitas cuma buat tebal kasur nya pas di ukur 16cm klo di deskripsi kan 20 cm yaa...mau nunggu bsk lg coba ya mau di ukur lg bisa sampe 20 cm gk.."
mansyurcef,2021-12-29 15:37:18,140x200,5,"Ternyata kasurnya bagus, barang original dapat bonus bantal in the box 2 pcs , kasurnya empuk banget hehee.. 
Pengiriman lumayan lama di expedisinya , ngga nyesel pokoknya recomended banget kasur in the box,, ada garansinya juga 
Makasih saller makasih Inthe Box 😁😀"
s*****s,2021-12-16 09:51:07,120x200,5,"Kenyamanan:sangat nyaman
Harga:ada harga ada kualitas
Kualitas:ada harga ada kualitas

Terimakasih banyak kak 🤗 packing nya rapii kirimannya cepet fast respon pokoknya,ini pembelian tgl 12.12 eh nyampe besok nya dong bener bener cepet fast respon dan cepet nyampenya loh makasih admin inthebox tencu inthebox tencu shopee 🤗🙏🙏😘😘😘😘♥️♥️♥️"
