product_name,product_link,filename
pillow,https://shopee.co.id/Bantal-tidur-kepala-brendis-hotel-berbintang-100-silikon-super-mewah-kualitas-bagus-bantal-brendis-i.33781646.566229798?sp_atk=3b642fc6-e6cf-43ea-bd78-1a5985ded97c,pillow
fold_table,https://shopee.co.id/Coretech-Elenco-Meja-Belajar-Makan-Lipat-Anak-Laptop-Portable-i.8459024.6668646086?sp_atk=b21fdff4-ba06-4629-a4d3-12c97cca7c60,fold_table
bed1,https://shopee.co.id/Kasur-Spring-Bed-INTHEBOX-X-(Plush-Top)-FREE-Bantal-Ukuran-90x200-100x200-120x200-140x200-160x200-180x200-200x200-i.40076058.2680800310?sp_atk=aa524b7a-97b3-402c-b491-e701b228e47d,bed1
bed2,https://shopee.co.id/Kasur-Busa-INTHEBOX-HYBRID-FREE-Bantal-Ukuran-90x200-100x200-120x200-140x200-160x200-180x200-200x200-i.40076058.3126414665?sp_atk=56b85e2a-c002-4075-b8a4-9914e84b42cd&xptdk=56b85e2a-c002-4075-b8a4-9914e84b42cd,bed2
bed3,https://shopee.co.id/Kasur-Spring-Bed-INTHEBOX-FREE-Bantal-Ukuran-90x200-100x200-120x200-140x200-160x200-180x200-200x200-i.40076058.625921391?sp_atk=3eab5a34-b2a2-4cc3-b0d7-5d3b719576cb&xptdk=3eab5a34-b2a2-4cc3-b0d7-5d3b719576cb,bed3
towel,https://shopee.co.id/Terry-Palmer-Morning-Whistle-Bamboo-Sunny-Handuk-Mandi-Dewasa-70-x-135-cm-i.352402807.3872691717?sp_atk=b8855c77-ea0a-4064-bef4-deca3454bcea,towel
hanger_stand,https://shopee.co.id/Starlight-Rak-Baju-Gantungan-Baju-Besi-Stand-Hanger-Display-Butik-Bazar-Jemuran-Pakaian-HSH101-i.167361742.4941361798?sp_atk=e9cb9734-479d-4f08-acbd-05b11ae9c399,hanger_stand
hangers,https://shopee.co.id/Hanger-Kayu-Nat-TEBAL-Warna-Kayu-Natural-Plitur-Gantungan-Baju-Kayu-Hanger-Kayu-Plitur-Tipis-Tebal-Bisa-Custom-Logo-Grafir-Laser-Hanger-Kayu-Estetic-Estetik-Aestetik(BH)-i.143752051.7523541048?sp_atk=41668da0-bc51-4bc3-84b9-886e906e19c9&xptdk=41668da0-bc51-4bc3-84b9-886e906e19c9,hangers
hangerstand,https://shopee.co.id/Stand-hanger-double-sisi-rak-serbaguna-dgn-4-roda-i.72557599.1860496053?sp_atk=4acb201b-e05d-4c36-b909-2972bcbb3c65&xptdk=4acb201b-e05d-4c36-b909-2972bcbb3c65,hangerstand
hangerstand2,https://shopee.co.id/Stand-Hanger-Gantungan-Berdiri-i.72557599.1363841393?sp_atk=110aec58-82c1-405d-8b91-5544994c6bc7&xptdk=110aec58-82c1-405d-8b91-5544994c6bc7,hangerstand2
vinyl1,https://shopee.co.id/SURGANYA-VINIL-VINYL-STIKER-LANTAI-KAYU-VYNIL-91-5CM-X-15CM-i.7171165.6280340556?sp_atk=46c1813e-7572-4ba0-b5cc-958779822312,vinyl1
vinyl2,https://shopee.co.id/(KK)-KARPET-LANTAI-VINYL-PLASTIK-IMPORT-KOREA-KARPET-LANTAI-PREMIUM-50CM-x-200CM-(1m%C2%B2)-TEBAL-0.45MM-i.165298961.3251322361?sp_atk=bd490a1c-f6f5-4dcc-b225-8056b3a091c6&xptdk=bd490a1c-f6f5-4dcc-b225-8056b3a091c6,vinyl2
vinyl3,https://shopee.co.id/Stiker-Lantai-Vinyl-Wallpaper-Dinding-Motif-Kayu-Premium-Wallpaper-Stiker-Tebal-2Mm-i.27176697.11320813191?sp_atk=bb166d5e-973d-4bb8-b9e6-d15dfbd5bce4&xptdk=bb166d5e-973d-4bb8-b9e6-d15dfbd5bce4,vinyl3
vinyl4,https://shopee.co.id/OFM-C236-Karpet-Kamar-Mandi-Anti-Licin-30x30CM-Keset-Lantai-Anti-Slip-Polkadot-Dapur-Mat-Non-Slip-i.262006789.10002121773?sp_atk=133a9698-2ff9-4318-bd4f-d5708fee138d&xptdk=133a9698-2ff9-4318-bd4f-d5708fee138d,vinyl4
